[INFO] [1695910151.954945, 0.000000]: Waiting for clock
[INFO] [1695910159.904244, 1539699406.949934]: Error (in mm): 1.75
[INFO] [1695910159.906535, 1539699406.949934]: Error (in mm): 1.75
[INFO] [1695910159.914270, 1539699406.960000]: Error (in mm): 1.75
[INFO] [1695910159.916305, 1539699406.960000]: Error (in mm): 1.75
[INFO] [1695910159.924338, 1539699406.970090]: Error (in mm): 1.75
[INFO] [1695910159.926601, 1539699406.970090]: Error (in mm): 1.75
[INFO] [1695910159.934599, 1539699406.980170]: Error (in mm): 1.75
[INFO] [1695910159.937065, 1539699406.980170]: Error (in mm): 1.74
[INFO] [1695910159.944414, 1539699406.990241]: Error (in mm): 1.74
[INFO] [1695910159.946872, 1539699406.990241]: Error (in mm): 1.74
[INFO] [1695910159.954622, 1539699407.000309]: Error (in mm): 1.74
[INFO] [1695910159.956792, 1539699407.000309]: Error (in mm): 1.74
[INFO] [1695910159.964810, 1539699407.010378]: Error (in mm): 1.74
[INFO] [1695910159.967071, 1539699407.010378]: Error (in mm): 1.74
[INFO] [1695910159.974913, 1539699407.020469]: Error (in mm): 1.75
[INFO] [1695910159.977412, 1539699407.020469]: Error (in mm): 1.75
[INFO] [1695910159.984749, 1539699407.030577]: Error (in mm): 1.75
[INFO] [1695910159.986997, 1539699407.030577]: Error (in mm): 1.76
[INFO] [1695910159.995299, 1539699407.040649]: Error (in mm): 1.76
[INFO] [1695910159.997714, 1539699407.040649]: Error (in mm): 1.76
[INFO] [1695910160.005020, 1539699407.050722]: Error (in mm): 1.74
[INFO] [1695910160.007082, 1539699407.050722]: Error (in mm): 1.74
[INFO] [1695910160.015248, 1539699407.060900]: Error (in mm): 1.74
[INFO] [1695910160.017370, 1539699407.060900]: Error (in mm): 1.74
[INFO] [1695910160.025285, 1539699407.070969]: Error (in mm): 1.74
[INFO] [1695910160.027706, 1539699407.070969]: Error (in mm): 1.74
[INFO] [1695910160.035378, 1539699407.081075]: Error (in mm): 1.74
[INFO] [1695910160.037424, 1539699407.081075]: Error (in mm): 1.74
[INFO] [1695910160.045701, 1539699407.091148]: Error (in mm): 1.74
[INFO] [1695910160.048072, 1539699407.091148]: Error (in mm): 1.74
[INFO] [1695910160.055468, 1539699407.101229]: Error (in mm): 1.74
[INFO] [1695910160.057531, 1539699407.101229]: Error (in mm): 1.74
[INFO] [1695910160.065824, 1539699407.111295]: Error (in mm): 1.74
[INFO] [1695910160.067910, 1539699407.111295]: Error (in mm): 1.74
[INFO] [1695910160.075489, 1539699407.121364]: Error (in mm): 1.75
[INFO] [1695910160.077576, 1539699407.121364]: Error (in mm): 1.75
[INFO] [1695910160.085803, 1539699407.131442]: Error (in mm): 1.75
[INFO] [1695910160.088182, 1539699407.131442]: Error (in mm): 1.77
[INFO] [1695910160.095782, 1539699407.141518]: Error (in mm): 1.77
[INFO] [1695910160.098019, 1539699407.141518]: Error (in mm): 1.77
[INFO] [1695910160.105870, 1539699407.151551]: Error (in mm): 1.75
[INFO] [1695910160.108056, 1539699407.151551]: Error (in mm): 1.75
[INFO] [1695910160.115924, 1539699407.161629]: Error (in mm): 1.75
[INFO] [1695910160.118106, 1539699407.161629]: Error (in mm): 1.75
[INFO] [1695910160.126092, 1539699407.171695]: Error (in mm): 1.76
[INFO] [1695910160.128256, 1539699407.171695]: Error (in mm): 1.76
[INFO] [1695910160.136196, 1539699407.181761]: Error (in mm): 1.75
[INFO] [1695910160.138304, 1539699407.181761]: Error (in mm): 1.75
[INFO] [1695910160.146261, 1539699407.191834]: Error (in mm): 1.75
[INFO] [1695910160.148468, 1539699407.191834]: Error (in mm): 1.75
[INFO] [1695910160.156312, 1539699407.201966]: Error (in mm): 1.75
[INFO] [1695910160.158623, 1539699407.201966]: Error (in mm): 1.75
[INFO] [1695910160.166570, 1539699407.212039]: Error (in mm): 1.75
[INFO] [1695910160.169791, 1539699407.212039]: Error (in mm): 1.75
[INFO] [1695910160.176519, 1539699407.222108]: Error (in mm): 1.75
[INFO] [1695910160.178722, 1539699407.222108]: Error (in mm): 1.75
[INFO] [1695910160.186852, 1539699407.232113]: Error (in mm): 1.77
[INFO] [1695910160.189151, 1539699407.232113]: Error (in mm): 1.77
[INFO] [1695910160.196917, 1539699407.242212]: Error (in mm): 1.77
[INFO] [1695910160.199056, 1539699407.242212]: Error (in mm): 1.77
[INFO] [1695910160.206679, 1539699407.252268]: Error (in mm): 1.77
[INFO] [1695910160.208712, 1539699407.252268]: Error (in mm): 1.77
[INFO] [1695910160.216604, 1539699407.262343]: Error (in mm): 1.77
[INFO] [1695910160.219757, 1539699407.262343]: Error (in mm): 1.77
[INFO] [1695910160.226779, 1539699407.272430]: Error (in mm): 1.75
[INFO] [1695910160.229263, 1539699407.272430]: Error (in mm): 1.75
[INFO] [1695910160.236663, 1539699407.282501]: Error (in mm): 1.74
[INFO] [1695910160.239399, 1539699407.282501]: Error (in mm): 1.74
[INFO] [1695910160.246915, 1539699407.292579]: Error (in mm): 1.74
[INFO] [1695910160.249215, 1539699407.292579]: Error (in mm): 1.74
[INFO] [1695910160.256804, 1539699407.302647]: Error (in mm): 1.75
[INFO] [1695910160.259449, 1539699407.302647]: Error (in mm): 1.75
[INFO] [1695910160.267088, 1539699407.312723]: Error (in mm): 1.75
[INFO] [1695910160.270941, 1539699407.312723]: Error (in mm): 1.76
[INFO] [1695910160.276967, 1539699407.322792]: Error (in mm): 1.76
[INFO] [1695910160.278959, 1539699407.322792]: Error (in mm): 1.76
[INFO] [1695910160.287043, 1539699407.332862]: Error (in mm): 1.77
[INFO] [1695910160.289091, 1539699407.332862]: Error (in mm): 1.77
[INFO] [1695910160.297251, 1539699407.342930]: Error (in mm): 1.77
[INFO] [1695910160.299306, 1539699407.342930]: Error (in mm): 1.77
[INFO] [1695910160.307296, 1539699407.353027]: Error (in mm): 1.77
[INFO] [1695910160.309587, 1539699407.353027]: Error (in mm): 1.77
[INFO] [1695910160.317461, 1539699407.363106]: Error (in mm): 1.77
[INFO] [1695910160.320376, 1539699407.363106]: Error (in mm): 1.75
[INFO] [1695910160.327337, 1539699407.373179]: Error (in mm): 1.75
[INFO] [1695910160.329747, 1539699407.373179]: Error (in mm): 1.75
[INFO] [1695910160.337403, 1539699407.383254]: Error (in mm): 1.74
[INFO] [1695910160.339822, 1539699407.383254]: Error (in mm): 1.74
[INFO] [1695910160.347582, 1539699407.393321]: Error (in mm): 1.74
[INFO] [1695910160.349528, 1539699407.393321]: Error (in mm): 1.74
[INFO] [1695910160.357590, 1539699407.403339]: Error (in mm): 1.75
[INFO] [1695910160.360450, 1539699407.403339]: Error (in mm): 1.75
[INFO] [1695910160.367701, 1539699407.413407]: Error (in mm): 1.75
[INFO] [1695910160.369942, 1539699407.413407]: Error (in mm): 1.76
[INFO] [1695910160.377975, 1539699407.423465]: Error (in mm): 1.76
[INFO] [1695910160.380013, 1539699407.423465]: Error (in mm): 1.76
[INFO] [1695910160.387629, 1539699407.433535]: Error (in mm): 1.77
[INFO] [1695910160.389673, 1539699407.433535]: Error (in mm): 1.77
[INFO] [1695910160.397931, 1539699407.443604]: Error (in mm): 1.77
[INFO] [1695910160.400004, 1539699407.443604]: Error (in mm): 1.77
[INFO] [1695910160.407942, 1539699407.453672]: Error (in mm): 1.75
[INFO] [1695910160.410558, 1539699407.453672]: Error (in mm): 1.75
[INFO] [1695910160.418299, 1539699407.463744]: Error (in mm): 1.75
